date,open,high,low,close,volume,t3_7_BBL_54_2.0,tema_54_BBU_54_2.0,$signals,@exit,£order_executed_1,order_1,£order_executed_2,order_2,£order_executed_3,order_3,£order_executed_4,order_4,£order_executed_5,order_5
1738374000,233.59,233.74,233.56,233.58,1906.6,231.3199235051203,234.0814488628431,False,False,False,,False,,False,,False,,False,
1738374060,233.58,234.0,233.58,233.92,2287.2,231.37662821052277,234.1080302317744,False,False,False,,False,,False,,False,,False,
1738374120,233.92,233.92,233.4,233.69,3199.6,231.43693244151336,234.13226291432244,False,False,False,,False,,False,,False,,False,
1738374180,233.69,233.73,233.45,233.68,2317.5,231.4989015872079,234.15481923749815,False,False,False,,False,,False,,False,,False,
1738374240,233.68,233.89,233.66,233.71,1349.3,231.56354937684353,234.1735468221827,False,False,False,,False,,False,,False,,False,
1738374300,233.71,233.78,233.58,233.65,730.0,231.6320009279458,234.18852782244633,False,False,False,,False,,False,,False,,False,
1738374360,233.65,233.65,233.19,233.21,1186.7,231.70534997963318,234.1975369382769,False,False,False,,False,,False,,False,,False,
1738374420,233.21,233.21,232.76,232.78,4270.7,231.78420532899372,234.19924453786612,False,False,False,,False,,False,,False,,False,
1738374480,232.78,232.79,232.45,232.72,5395.4,231.86680355735712,234.1956539512638,False,False,False,,False,,False,,False,,False,
1738374540,232.72,232.96,232.68,232.85,2299.9,231.95106469973382,234.18732390374922,False,False,False,,False,,False,,False,,False,
1738374600,232.85,232.98,232.78,232.98,296.7,232.0335817183684,234.17682604516372,False,False,False,,False,,False,,False,,False,
1738374660,232.98,232.98,232.78,232.84,378.4,232.1110695727964,234.16477866967787,False,False,False,,False,,False,,False,,False,
